Season,No_Overall,No_Season,Title,Director,Writer,Original_Air_Date,Prod_code,US_Viewers_Mil
5,117,20,"""The One with the Ride-Along""",Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,29-Apr-99,467670,19.6[9]
5,118,21,"""The One with the Ball""",Gary Halvorson,Story by : Scott Silveri. Teleplay by : Gregory S. Malins. ,6-May-99,467671,20.9[9]
5,119,22,"""The One with Joey's Big Break""",Gary Halvorson,Story by : Shana Goldberg-Meehan. Teleplay by : Wil Calhoun. ,13-May-99,467672,21.3[9]
5,120,23,"""The One in Vegas"" (Pt I)",Kevin S. Bright,Ted Cohen & Andrew Reich,20-May-99,467673,25.9[9]
5,121,24,"""The One in Vegas"" (Pt II)",Kevin S. Bright,Gregory S. Malins & Scott Silveri,20-May-99,467674,25.9[9]
6,122,1,"""The One After Vegas""",Kevin S. Bright,Adam Chase,23-Sep-99,225551,27.7[10]
6,123,2,"""The One Where Ross Hugs Rachel""",Gail Mancuso,Shana Goldberg-Meehan,30-Sep-99,225552,22.9[10]
6,124,3,"""The One with Ross's Denial""",Gary Halvorson,Seth Kurland,7-Oct-99,225553,21.6[10]
6,125,4,"""The One Where Joey Loses His Insurance""",Gary Halvorson,Andrew Reich & Ted Cohen,14-Oct-99,225554,21.1[10]
6,126,5,"""The One with Joey's Porsche""",Gary Halvorson,Perry Rein & Gigi McCreery,21-Oct-99,225555,22.4[10]
6,127,6,"""The One on the Last Night""",David Schwimmer,Scott Silveri,4-Nov-99,225556,23.6[10]
6,128,7,"""The One Where Phoebe Runs""",Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,11-Nov-99,225557,22.7[10]
6,129,8,"""The One with Ross's Teeth""",Gary Halvorson,Story by : Andrew Reich & Ted Cohen. Teleplay by : Perry Rein & Gigi McCreery,18-Nov-99,225558,22.1[10]
6,130,9,"""The One Where Ross Got High""",Kevin S. Bright,Gregory S. Malins,25-Nov-99,225559,19.2[10]
6,131,10,"""The One with the Routine""",Kevin S. Bright,Brian Boyle,16-Dec-99,225561,22.4[10]
6,132,11,"""The One with the Apothecary Table""",Kevin S. Bright,Story by : Zachary Rosenblatt. Teleplay by : Brian Boyle. ,6-Jan-00,225560,22.3[10]
6,133,12,"""The One with the Joke""",Gary Halvorson,Story by : Shana Goldberg-Meehan. Teleplay by : Wil Calhoun. ,13-Jan-00,225562,22.3[10]
6,134,13,"""The One with Rachel's Sister""",Gary Halvorson,Story by : Seth Kurland. Teleplay by : Sherry Bilsing-Graham & Ellen Plummer. ,3-Feb-00,225563,24.1[10]
6,135,14,"""The One Where Chandler Can't Cry""",Kevin S. Bright,Andrew Reich & Ted Cohen,10-Feb-00,225564,23.8[10]
6,136,15,"""The One That Could Have Been"" (Pt I)",Michael Lembeck,Gregory S. Malins & Adam Chase,17-Feb-00,225565,20.7[10]
6,137,16,"""The One That Could Have Been"" (Pt II)",Michael Lembeck,David Crane & Marta Kauffman,17-Feb-00,225566,20.7[10]
6,138,17,"""The One with Unagi""",Gary Halvorson,Story by : Zachary Rosenblatt. Teleplay by : Adam Chase,24-Feb-00,225568,22.1[10]
6,139,18,"""The One Where Ross Dates a Student""",Gary Halvorson,Seth Kurland,9-Mar-00,225567,20.5[10]
6,140,19,"""The One with Joey's Fridge""",Ben Weiss,Story by : Seth Kurland. Teleplay by : Gigi McCreery & Perry Rein. ,23-Mar-00,225569,21.5[10]
6,141,20,"""The One with Mac and C.H.E.E.S.E.""",Kevin S. Bright,Doty Abrams,13-Apr-00,225575,18.8[10]
6,142,21,"""The One Where Ross Meets Elizabeth's Dad""",Michael Lembeck,Story by : David J. Lagana. Teleplay by : Scott Silveri. ,27-Apr-00,225570,20.6[10]
6,143,22,"""The One Where Paul's the Man""",Gary Halvorson,Story by : Brian Caldirola. Teleplay by : Sherry Bilsing-Graham & Ellen Plummer. ,4-May-00,225571,20.0[10]
6,144,23,"""The One with the Ring""",Gary Halvorson,Ted Cohen & Andrew Reich,11-May-00,225572,20.9[10]
6,145,24,"""The One with the Proposal"" (Pt I)",Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,18-May-00,225573,30.7[10]
6,146,25,"""The One with the Proposal"" (Pt II)",Kevin S. Bright,Andrew Reich & Ted Cohen,18-May-00,225574,30.7[10]
7,147,1,"""The One with Monica's Thunder""",Kevin S. Bright,Story by : Wil Calhoun. Teleplay by : David Crane & Marta Kauffman. ,12-Oct-00,226401,25.54[11]
7,148,2,"""The One with Rachel's Book""",Michael Lembeck,Andrew Reich & Ted Cohen,12-Oct-00,226402,27.93[11]
7,149,3,"""The One with Phoebe's Cookies""",Gary Halvorson,Sherry Bilsing & Ellen Plummer,19-Oct-00,226405,22.70[11]
7,150,4,"""The One with Rachel's Assistant""",David Schwimmer,Brian Boyle,26-Oct-00,226403,22.66[11]
7,151,5,"""The One with the Engagement Picture""",Gary Halvorson,Story by : Earl Davis. Teleplay by : Patty Lin. ,2-Nov-00,226404,24.43[11]
7,152,6,"""The One with the Nap Partners""",Gary Halvorson,Brian Buckner & Sebastian Jones,9-Nov-00,226406,22.01[11]
7,153,7,"""The One with Ross's Library Book""",David Schwimmer,Scott Silveri,16-Nov-00,226410,23.73[11]
7,154,8,"""The One Where Chandler Doesn't Like Dogs""",Kevin S. Bright,Patty Lin,23-Nov-00,226407,16.57[11]
7,155,9,"""The One with All the Candy""",David Schwimmer,Wil Calhoun,7-Dec-00,226408,21.08[11]
7,156,10,"""The One with the Holiday Armadillo""",Gary Halvorson,Gregory S. Malins,14-Dec-00,226409,23.26[11]
7,157,11,"""The One with All the Cheesecakes""",Gary Halvorson,Shana Goldberg-Meehan,4-Jan-01,226412,24.37[11]
7,158,12,"""The One Where They're Up All Night""",Kevin S. Bright,Zachary Rosenblatt,11-Jan-01,226413,22.86[11]
7,159,13,"""The One Where Rosita Dies""",Stephen Prime,Story by : Ellen Plummer & Sherry Bilsing. Teleplay by : Brian Buckner & Sebastian Jones. ,1-Feb-01,226415,22.24[11]
7,160,14,"""The One Where They All Turn Thirty""",Ben Weiss,Story by : Vanessa McCarthy. Teleplay by : Ellen Plummer & Sherry Bilsing. ,8-Feb-01,226411,22.40[11]
